step,dx,dy,dz,droll,dpitch,dyaw,gripper,bowl_z,bowl_delta_z,success_counter,custom_success,libero_done
20,0.06961381450938242,-0.0013865477898541423,-0.7432037818665599,4.831982009551039e-05,-0.033050420179086576,0.00012604848426930881,-1.0,0.898404150188853,2.786076397365278e-07,0,False,False
21,0.35340929721734093,0.03478992335936604,-0.6258928577105205,4.831982009551039e-05,-0.04357983160252665,-0.03869748071712606,-1.0,0.898404150188853,2.786076397365278e-07,0,False,False
22,-0.12838303389151884,-0.0013865477898541423,-0.8311869749835893,4.831982009551039e-05,-0.1248067197262072,0.00012604848426930881,-1.0,0.898404150188853,2.786076397365278e-07,0,False,False
23,0.3600091921640377,0.13728992494882308,-0.6112289921910155,4.831982009551039e-05,0.024109241833873807,0.00012604848426930881,-1.0,0.898404150188853,2.786076397365278e-07,0,False,False
24,-0.0029850299042814,-0.0013865477898541423,-0.7432037818665599,4.831982009551039e-05,-0.025529412019486525,0.00012604848426930881,-1.0,0.898404150188853,2.786076397365278e-07,0,False,False
25,-0.10198345410473209,0.07699580636678949,-0.6112289921910155,4.831982009551039e-05,-0.13533613114964727,0.002714283764362335,-1.0,0.898404150188853,2.786076397365278e-07,0,False,False
26,-0.10198345410473209,0.022731099642959274,-0.5305777318337384,4.831982009551039e-05,-0.09171428382396699,0.00012604848426930881,-1.0,0.898404150188853,2.786076397365278e-07,0,False,False
27,-0.029384609691068264,0.16743698423984,-0.5892331939117581,-0.0645147063276347,-0.07817646913668688,0.01306722488473444,-1.0,0.898404150188853,2.786076397365278e-07,0,False,False
28,-0.029384609691068264,0.16743698423984,-0.4865861352752236,-0.0686533618499251,-0.06463865444940678,0.0014201661243158359,-1.0,0.898404150188853,2.786076397365278e-07,0,False,False
29,0.04321423472259556,0.010672275926552621,-0.0026785731315612793,-0.0280945377314792,-0.03154621854716658,0.00012604848426930881,1.0,0.898404150188853,2.786076397365278e-07,0,False,False
30,-0.022784714744371493,-0.0013865477898541423,-0.4352626059569564,4.831982009551039e-05,-0.08720167892820695,0.00012604848426930881,1.0,0.898404150188853,2.786076397365278e-07,0,False,False
31,-0.022784714744371493,0.010672275926552621,-0.618560924950768,4.831982009551039e-05,-0.042075629970606626,0.00012604848426930881,-1.0,0.898404150188853,2.786076397365278e-07,0,False,False
32,-0.022784714744371493,0.010672275926552621,-0.5599054628727482,4.831982009551039e-05,-0.0676470577132468,0.00012604848426930881,1.0,0.898404150188853,2.786076397365278e-07,0,False,False
33,-0.12838303389151884,-0.0013865477898541423,-0.5305777318337384,4.831982009551039e-05,-0.0014621859087663724,-0.010226892636102797,-1.0,0.898404150188853,2.786076397365278e-07,0,False,False
34,-0.022784714744371493,-0.019474783364464288,-0.11265756452784825,4.831982009551039e-05,-0.0345546218110066,-0.09563865687917261,1.0,0.898404150188853,2.786076397365278e-07,0,False,False
35,-0.0029850299042814,-0.019474783364464288,-0.1713130266058679,4.831982009551039e-05,4.201572315365443e-05,0.00012604848426930881,1.0,0.898404150188853,2.786076397365278e-07,0,False,False
36,-0.0029850299042814,-0.019474783364464288,-0.1713130266058679,4.831982009551039e-05,4.201572315365443e-05,-0.03869748071712606,1.0,0.898404150188853,2.786076397365278e-07,0,False,False
37,-0.0029850299042814,-0.019474783364464288,-0.017342438651066105,4.831982009551039e-05,0.02110083857003381,-0.06457983351805631,1.0,0.898404150188853,2.786076397365278e-07,0,False,False
38,-0.0029850299042814,0.04081933521756942,-0.0026785731315612793,-0.029749999940395344,4.201572315365443e-05,0.00012604848426930881,1.0,0.8983485068124022,-5.536476881107255e-05,0,False,False
39,-0.0029850299042814,0.04081933521756942,-0.0026785731315612793,-0.029749999940395344,4.201572315365443e-05,0.00012604848426930881,1.0,0.8985005897136903,9.671813247702499e-05,0,False,False
40,-0.0029850299042814,0.04081933521756942,-0.0026785731315612793,-0.029749999940395344,4.201572315365443e-05,0.00012604848426930881,1.0,0.8988266643320557,0.00042279275084244894,0,False,False
41,-0.0029850299042814,0.04081933521756942,0.1952836113817551,-0.03140546214931152,4.201572315365443e-05,-0.041285715997219086,1.0,0.8989447544783682,0.0005408828971549262,0,False,False
42,-0.0029850299042814,-0.0013865477898541423,-0.0026785731315612793,4.831982009551039e-05,0.01959663693811381,-0.06846218643819585,1.0,0.9004416993028493,0.0020378277216360763,0,False,False
43,-0.0029850299042814,-0.0013865477898541423,0.24660714070002232,4.831982009551039e-05,4.201572315365443e-05,-0.01540336319628885,1.0,0.9008841839758874,0.0024803123946741668,0,False,False
44,-0.0029850299042814,-0.0013865477898541423,0.24660714070002232,4.831982009551039e-05,4.201572315365443e-05,-0.00763865735600977,1.0,0.9010094603187606,0.0026055887375473485,0,False,False
45,0.0036148650424152606,-0.0013865477898541423,0.18795167862200257,4.831982009551039e-05,4.201572315365443e-05,0.00012604848426930881,1.0,0.9015552382769493,0.003151366695736013,0,False,False
46,0.15541244881643967,0.2217016909636702,0.3272584010572994,-0.014850840060149917,4.201572315365443e-05,-0.0218739513965214,1.0,0.9022066303942203,0.0038027588130070678,0,False,False
47,0.18181202860322654,0.23376051468007697,0.8404936942399717,-0.014850840060149917,0.04817646794459396,-0.02316806903656793,1.0,0.9057541600928511,0.007350288511637881,0,False,False
48,0.04321423472259556,0.06493698265038284,0.3272584010572994,-0.009884453433401441,0.03915125815307391,0.00012604848426930881,1.0,0.9119217977777218,0.01351792619650849,0,False,False
49,0.04321423472259556,0.03478992335936604,0.5838760476486355,4.831982009551039e-05,0.06171428263187406,0.00012604848426930881,1.0,0.9176833090530134,0.019279437471800165,0,False,False
50,0.04321423472259556,0.03478992335936604,0.5838760476486355,4.831982009551039e-05,0.06171428263187406,0.00012604848426930881,1.0,0.9245020266052719,0.026098155024058656,0,False,False
51,0.15541244881643967,0.07096639450858622,0.6498634424864076,4.831982009551039e-05,0.03915125815307391,-0.05293277475763769,1.0,0.9321387444770336,0.033734872895820334,0,False,False
52,0.15541244881643967,0.1071428656578064,0.5252205855706158,4.831982009551039e-05,0.01207562877851373,-0.05293277475763769,1.0,0.9396396118939013,0.04123574031268806,0,False,False
53,0.15541244881643967,0.23978992653828046,0.6645273080059126,4.831982009551039e-05,0.12489075117251452,0.00012604848426930881,1.0,0.9465348340399518,0.04813096245873849,0,False,False
54,0.1884119235499233,0.0468487470757728,0.5545483166096259,4.831982009551039e-05,4.201572315365443e-05,-0.06587395115810282,1.0,0.9541877247227424,0.055783853141529116,1,False,False
55,0.15541244881643967,0.3181722806949241,0.8404936942399717,-0.013195377851233772,0.009067225514673732,-0.07363865699838189,1.0,0.9635543218049865,0.06515045022377319,2,False,False
56,0.15541244881643967,0.27596639768750064,0.8331617614802191,-0.02892226883593728,4.201572315365443e-05,-0.028344539596753954,1.0,0.9743910142754426,0.07598714269422935,3,False,False
57,0.41280835173761143,0.2880252214039074,0.8991491563179912,-0.024783613313646882,0.10082352506179437,-0.041285715997219086,1.0,0.9848204009198243,0.08641652933861099,4,False,False
58,0.3600091921640377,0.33626051626953424,0.8258298287204666,-0.04299369761172463,0.08427730711067422,-0.010226892636102797,1.0,0.9948254123549677,0.09642154077375442,5,True,False
